Id;Designator;Package;Quantity;Designation;Supplier and ref;
1;CN752,CN751;ISA 8 Bit;2;ISA_8_Bit;;;
2;C751;CP_Radial_D8.0mm_P5.00mm;1;22uF 16V;;;
3;CN755,CN754;ISA 16 Bit;2;ISA_16_Bit_Extended;;;
4;RP752,RP753,RP754,RP755,RP756;R_Array_SIP10;5;1K;;;
5;C458,C752,C753,C754,C849;C_Disc_D7.0mm_W2.5mm_P5.00mm;5;0.22uF;;;
6;CN451,CN452;Video Slot;2;Video_Slot;;;
7;CN602,CN603,CN601,CN600;Zorro-III;4;Zorro-III;;;
8;R601,R603;Resistor;2;470;;;
9;C602,C603,C601,C600;CP_Axial_L21.0mm_D8.0mm_P28.00mm_Horizontal;4;220uF 16V;;;
10;R602,R600;Resistor;2;1K;;;
11;EDGE1;Edge2;1;Edge1;;;
12;U600;DIP-14_W7.62mm_Socket;1;74HCT32;;;
13;C784,C785,C788,C786,C787,C789,C790,C793,C794,C792,C795,C756,C757,C758,C759,C760,C761,C762,C763,C764,C765,C766,C767,C768,C769,C770,C771,C772,C773,C774,C775,C776,C777,C778,C779,C780,C781,C782,C783,C791,C796,C797,C798,C799;C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02;44;1000pF;;;
14;U601;DIP-14_W7.62mm;1;7407;;;
15;RP608;R_Array_SIP6;1;220/330;;;
16;RP603,RP602,RP604,RP605,RP606,RP607;R_Array_SIP10;6;220/330;;;
17;EDGE2;Edge1;1;Edge2;;;
18;C1,C604,C606;C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal;3;0.1uF;;;
19;RP611;R_Array_SIP6;1;1K;;;
20;RP751;R_Array_SIP10;1;4.7k;;;
21;U1;DIP-14_W7.62mm;1;74F74;;;
